Year,Bristol Bay mean,Bristol Bay anomaly,Bristol Bay < 50m mean,Bristol Bay < 50m anomaly
1970,7.9859,-0.054274,8.0728,-0.020442
1971,7.9979,-0.039895,8.0745,-0.016694
1972,7.979,-0.056527,8.0587,-0.030348
1973,8.0279,-0.0052499,8.0823,-0.0046927
1974,8.0224,-0.0084272,8.078,-0.00701
1975,8.0351,0.0065794,8.0725,-0.010373
1976,8.0342,0.0079338,8.0765,-0.0042888
1977,8.0421,0.018199,8.0842,0.0054617
1978,8.0215,-0.00010551,8.075,-0.001699
1979,8.0214,0.0020826,8.0782,0.003528
1980,8.027,0.010073,8.0766,0.0040394
1981,8.0055,-0.0091278,8.0674,-0.0031134
1982,8.0293,0.017026,8.076,0.0075082
1983,8.0156,0.0056234,8.0707,0.004312
1984,8.0207,0.01306,8.0802,0.015868
1985,8.025,0.01962,8.0801,0.017848
1986,7.9991,-0.0039106,8.057,-0.003214
1987,8.0096,0.0088424,8.0677,0.0095943
1988,8.0213,0.022847,8.0794,0.023308
1989,8.017,0.020887,8.0584,0.004379
1990,8.0105,0.016715,8.0672,0.015285
1991,8.0057,0.014286,8.0589,0.0089696
1992,8.0049,0.015766,8.0523,0.0044426
1993,7.9908,0.0040227,8.0505,0.0046942
1994,8.0027,0.018156,8.0647,0.021017
1995,8.0013,0.019109,8.0523,0.010672
1996,7.9783,-0.0015264,8.0351,-0.0044411
1997,7.9981,0.020535,8.0586,0.021123
1998,7.9837,0.0084856,8.0354,-4.69E-05
1999,7.9812,0.0082985,8.0397,0.006341
2000,7.9734,0.002784,8.0303,-0.0010355
2001,7.9794,0.011111,8.0364,0.0071447
2002,7.9709,0.0049681,8.0314,0.0041839
2003,7.9591,-0.0045319,8.0183,-0.0068126
2004,7.9704,0.0090783,8.0265,0.0034353
2005,7.9663,0.0072628,8.0284,0.0074259
2006,7.9589,0.0021673,8.0245,0.0055459
2007,7.9423,-0.012035,8.0168,-7.56E-05
2008,7.9383,-0.013796,8.0001,-0.014692
2009,7.9407,-0.0090403,7.9898,-0.022995
2010,7.9379,-0.0095507,7.9802,-0.030489
2011,7.9505,0.0054183,7.9938,-0.014877
2012,7.9431,0.00034564,8.003,-0.003625
2013,7.9088,-0.031654,7.9797,-0.024784
2014,7.9018,-0.036372,7.9826,-0.019835
2015,7.9373,0.0014779,7.9899,-0.010475
2016,7.9371,0.003606,7.9984,0.00010837
2017,7.9543,0.023093,8.0157,0.019408
2018,7.908,-0.020878,7.989,-0.0051651
2019,7.9071,-0.019422,7.9924,0.0002747
2020,7.9211,-0.0031217,8.0134,0.023284
2021,7.9119,-0.010039,7.99,0.0019993
