"year","station","julian"
2023,"Q-26",200
2023,"QP2726",200
2023,"PO2625",201
2023,"O-26",201
2023,"P-27",201
2023,"N-27",202
2023,"N-26",202
2023,"ON2625",202
2023,"M-26",203
2023,"M-27",203
2023,"M-28",203
2023,"E-20",181
2023,"E-21",181
2023,"IH2019",180
2023,"H-20",180
2023,"HG2019",180
2023,"GF2019",181
2023,"F-20",181
2023,"K-03",169
2023,"J-03",169
2023,"I-03",169
2023,"H-03",170
2023,"G-03",170
2023,"F-03",170
2023,"F-02",170
2023,"E-02",171
2023,"E-01",171
2023,"D-01",171
2023,"D-02",171
2023,"C-02",171
2023,"A-02",172
2023,"B-02",172
2023,"B-01",172
2023,"C-01",172
2023,"C-18",173
2023,"D-18",173
2023,"E-18",173
2023,"E-19",173
2023,"F-19",174
2023,"GF1918",174
2023,"G-19",175
2023,"HG1918",175
2023,"H-19",175
2023,"IH1918",175
2023,"I-19",176
2023,"J-19",176
2023,"PO2726",201
2023,"D-04",164
2023,"K-08",157
2023,"O-27",202
2023,"E-05",164
2023,"F-06",159
2023,"M-04",168
2023,"M-03",168
2023,"L-03",169
2023,"K-22",180
2023,"K-21",180
2023,"N-28",203
2023,"N-29",204
2023,"O-29",204
2023,"P-29",204
2023,"P-30",204
2023,"P-32",205
2023,"P-31",205
2023,"Q-31",205
2023,"Q-30",205
2023,"R-32",206
2023,"R-31",206
2023,"S-31",206
2023,"S-30",206
2023,"R-30",207
2023,"S-29",207
2023,"S-28",207
2023,"S-27",207
2023,"V-25",212
2023,"U-25",212
2023,"U-26",212
2023,"T-26",212
2023,"T-27",213
2023,"T-28",213
2023,"T-29",213
2023,"T-30",213
2023,"U-29",214
2023,"U-28",214
2023,"U-27",214
2023,"E-22",181
2023,"F-22",182
2023,"GF2221",182
2023,"F-21",182
2023,"GF2120",182
2023,"HG2221",183
2023,"G-21",183
2023,"HG2120",183
2023,"G-20",183
2023,"F-24",189
2023,"F-25",189
2023,"G-25",189
2023,"G-26",190
2023,"H-26",190
2023,"H-25",190
2023,"H-24",190
2023,"I-25",191
2023,"I-26",191
2023,"J-26",191
2023,"J-25",191
2023,"K-25",192
2023,"K-24",192
2023,"L-24",192
2023,"M-24",192
2023,"S-22",198
2023,"S-23",198
2023,"S-24",198
2023,"R-24",198
2023,"R-25",199
2023,"Q-25",199
2023,"QP2524",199
2023,"P-25",199
2023,"P-26",200
2023,"QP2625",200
2023,"J-22",181
2023,"JI2221",181
2023,"J-21",181
2023,"JI2120",181
2023,"I-21",182
2023,"IH2120",182
2023,"H-21",182
2023,"IH2221",182
2023,"I-22",183
2023,"H-22",183
2023,"G-22",183
2023,"F-23",190
2023,"G-23",190
2023,"G-24",190
2023,"H-23",191
2023,"I-23",191
2023,"I-24",191
2023,"J-24",191
2023,"J-23",192
2023,"K-23",192
2023,"L-23",192
2023,"M-23",192
2023,"M-22",193
2023,"N-22",193
2023,"O-22",193
2023,"P-22",193
2023,"Q-22",194
2023,"R-22",194
2023,"R-23",194
2023,"Q-23",194
2023,"QP2423",195
2023,"P-24",195
2023,"PO2423",195
2023,"P-23",195
2023,"O-23",196
2023,"N-23",196
2023,"N-24",196
2023,"O-24",198
2023,"PO2524",198
2023,"O-25",198
2023,"ON2524",198
2023,"N-25",199
2023,"M-25",199
2023,"L-25",199
2023,"L-26",199
2023,"K-26",200
2023,"K-27",200
2023,"V-26",214
2023,"V-27",215
2023,"V-28",215
2023,"K-19",176
2023,"L-19",176
2023,"M-19",177
2023,"N-19",177
2023,"O-19",177
2023,"O-18",177
2023,"Q-20",178
2023,"Q-21",178
2023,"P-21",179
2023,"O-21",179
2023,"N-21",179
2023,"M-21",179
2023,"L-21",180
2023,"L-22",180
2023,"J-02",170
2023,"J-01",170
2023,"I-01",170
2023,"I-02",170
2023,"H-02",171
2023,"H-01",171
2023,"G-01",171
2023,"G-02",171
2023,"F-01",172
2023,"F-18",172
2023,"G-18",172
2023,"H-18",172
2023,"I-18",173
2023,"JI1918",173
2023,"J-18",173
2023,"K-18",173
2023,"J-09",154
2023,"K-09",155
2023,"L-09",155
2023,"M-08",156
2023,"M-07",156
2023,"N-07",156
2023,"N-06",156
2023,"M-06",157
2023,"L-06",157
2023,"K-06",157
2023,"K-07",157
2023,"J-07",158
2023,"I-07",158
2023,"H-07",158
2023,"G-07",158
2023,"H-08",159
2023,"G-08",159
2023,"L-27",200
2023,"L-28",201
2023,"L-29",201
2023,"L-30",201
2023,"L-31",201
2023,"M-32",202
2023,"M-31",202
2023,"M-30",202
2023,"M-29",202
2023,"N-30",203
2023,"N-31",203
2023,"E-12",148
2023,"F-13",149
2023,"F-14",149
2023,"G-14",149
2023,"H-14",150
2023,"I-14",150
2023,"J-14",150
2023,"K-14",150
2023,"K-12",151
2023,"J-12",151
2023,"I-12",151
2023,"H-12",152
2023,"H-11",152
2023,"G-11",152
2023,"G-10",152
2023,"I-11",153
2023,"J-11",153
2023,"K-11",153
2023,"K-10",153
2023,"J-10",154
2023,"F-11",151
2023,"L-18",174
2023,"M-18",174
2023,"N-18",175
2023,"N-01",175
2023,"O-01",175
2023,"O-02",175
2023,"P-01",176
2023,"P-18",176
2023,"Q-02",177
2023,"Q-01",177
2023,"Q-18",177
2023,"Q-19",177
2023,"P-19",177
2023,"P-20",178
2023,"O-20",178
2023,"N-20",178
2023,"M-20",178
2023,"L-20",179
2023,"K-20",179
2023,"J-20",179
2023,"JI2019",179
2023,"I-20",180
2023,"P-28",204
2023,"Q-28",204
2023,"Q-29",204
2023,"R-29",205
2023,"R-28",205
2023,"R-27",205
2023,"Q-27",205
2023,"R-26",206
2023,"S-26",206
2023,"F-08",159
2023,"E-08",159
2023,"D-08",160
2023,"C-08",160
2023,"B-08",160
2023,"Z-05",163
2023,"B-04",163
2023,"C-04",164
2023,"D-05",164
2023,"F-05",165
2023,"G-05",165
2023,"H-05",165
2023,"I-05",165
2023,"J-05",166
2023,"O-31",203
2023,"O-30",203
2023,"O-28",204
2023,"K-05",166
2023,"L-05",166
2023,"M-05",166
2023,"N-05",167
2023,"N-04",167
2023,"O-04",167
2023,"O-03",167
2023,"N-03",168
2023,"N-02",168
2023,"M-02",168
2023,"L-02",168
2023,"M-01",169
2023,"L-01",169
2023,"K-01",169
2023,"K-02",169
2023,"J-08",157
2023,"L-08",157
2023,"L-07",157
2023,"J-06",158
2023,"I-06",158
2023,"H-06",158
2023,"G-06",158
2023,"F-07",159
2023,"E-07",159
2023,"E-06",159
2023,"D-06",160
2023,"D-07",160
2023,"C-07",160
2023,"B-07",160
2023,"C-06",161
2023,"C-05",161
2023,"B-05",161
2023,"B-06",161
2023,"A-06",162
2023,"A-05",162
2023,"A-04",162
2023,"A-03",165
2023,"B-03",165
2023,"C-03",165
2023,"D-03",165
2023,"E-03",166
2023,"E-04",166
2023,"F-04",166
2023,"G-04",166
2023,"H-04",167
2023,"I-04",167
2023,"J-04",167
2023,"K-04",168
2023,"L-04",168
2023,"F-10",152
2023,"E-11",152
2023,"C-09",153
2023,"D-09",153
2023,"D-10",153
2023,"E-10",153
2023,"E-09",154
2023,"F-09",154
2023,"G-09",155
2023,"H-09",155
2023,"H-10",156
2023,"I-10",156
2023,"I-09",156
2023,"I-08",156
2023,"S-25",206
2023,"T-25",206
2023,"J-16",148
2023,"I-16",148
2023,"H-16",148
2023,"G-15",149
2023,"H-15",149
2023,"I-15",149
2023,"J-15",149
2023,"K-13",150
2023,"J-13",150
2023,"I-13",150
2023,"H-13",150
2023,"G-13",151
2023,"G-12",151
2023,"F-12",151
2022,"H-16",150
2022,"I-16",150
2022,"J-16",150
2022,"J-15",151
2022,"I-15",151
2022,"H-15",151
2022,"G-15",151
2022,"F-13",152
2022,"I-04",171
2022,"J-04",171
2022,"K-04",172
2022,"L-04",172
2022,"M-04",172
2022,"N-04",172
2022,"O-02",173
2022,"N-02",173
2022,"M-02",173
2022,"L-02",173
2022,"K-02",174
2022,"J-02",174
2022,"I-02",174
2022,"G-01",175
2022,"F-01",175
2022,"E-01",175
2022,"D-01",175
2022,"M-06",158
2022,"L-07",159
2022,"K-07",159
2022,"J-08",160
2022,"H-08",161
2022,"F-08",161
2022,"E-08",161
2022,"D-08",162
2022,"C-08",162
2022,"B-08",162
2022,"B-07",162
2022,"A-06",163
2022,"A-05",163
2022,"Z-05",163
2022,"A-04",164
2022,"B-04",164
2022,"C-04",164
2022,"D-04",164
2022,"E-04",165
2022,"F-04",165
2022,"F-03",165
2022,"E-03",165
2022,"D-03",166
